tablename,policyname,cmd,ifade_ozeti
favorites,Users can add favorites,INSERT,19300d155780585259ede73ac370586c
favorites,Users can remove own favorites,DELETE,19300d155780585259ede73ac370586c
favorites,Users can view own favorites,SELECT,19300d155780585259ede73ac370586c
listing_invitations,Business members see team listing invitations,SELECT,825b0900dea47fed33f92167b1157850
listing_invitations,Inviter and invited see invitations,SELECT,2fa4e92f0de09cf9a7d0ec1ddfc4ad89
listing_invitations,Inviter creates invitations to own published listing,INSERT,12c31fce661c3e5413cf10fd28b3b470
listing_invitations,Inviter or invited update invitation,UPDATE,2b9c719a1cc6ec0d4ddcba51288efae4
listings,Admins can read all listings,SELECT,c3da202e39a73212a82ad2cb224d83b4
listings,Admins can update any listing,UPDATE,9fd94c4859ea2844f03d80e53ba66097
listings,Business members read team listings,SELECT,715eec9eba03cb570876c531459faa11
listings,Customers and businesses create listings,INSERT,e513aa9b0bb3178fa13628cb66d6f0c6
listings,Published listings are public,SELECT,3915d912dc35d5d30736098a2fde36de
listings,Users delete their own draft listings,DELETE,c369755af4a559d091221ab8db24b1bf
listings,Users see their own listings,SELECT,1fab6f3133b594d2fe6672d30c54bffe
listings,Users update their own listings,UPDATE,12ec379fcdd77051d9754afeb21e13c2
message_violations,Users can insert own violations,INSERT,19300d155780585259ede73ac370586c
messages,Business members read team messages,SELECT,6b5b4663e33916571df3f9a4788324ed
messages,messages_insert_participant,INSERT,6c7053be63cf1572e6b2c9693188b055
messages,messages_select_participant,SELECT,8c70c638b3c79526a1a42c962f251581
messages,messages_update_recipient,UPDATE,a72032f4b8005bdd9159e84ad11da29f
notifications,Users delete own notifications,DELETE,19300d155780585259ede73ac370586c
notifications,Users update own notifications,UPDATE,19300d155780585259ede73ac370586c
notifications,Users view own notifications,SELECT,19300d155780585259ede73ac370586c
portfolio_items,portfolio_admin_read,SELECT,96c251e77a5b03c36834627dd706429d
portfolio_items,portfolio_delete_own,DELETE,bc6097820b084f71d110a5f1d65d145a
portfolio_items,portfolio_insert_own,INSERT,bc6097820b084f71d110a5f1d65d145a
portfolio_items,portfolio_read_own,SELECT,bc6097820b084f71d110a5f1d65d145a
portfolio_items,portfolio_read_published,SELECT,d9ce7bb7aa0ac97f998ec85420ecf65c
portfolio_items,portfolio_update_own,UPDATE,bc6097820b084f71d110a5f1d65d145a
profile_experiences,profile_experiences_admin_read,SELECT,96c251e77a5b03c36834627dd706429d
profile_experiences,profile_experiences_delete_own,DELETE,bc6097820b084f71d110a5f1d65d145a
profile_experiences,profile_experiences_insert_own,INSERT,bc6097820b084f71d110a5f1d65d145a
profile_experiences,profile_experiences_read_own,SELECT,bc6097820b084f71d110a5f1d65d145a
profile_experiences,profile_experiences_read_published,SELECT,9eae9e77fd59e9daaa9eaa004cdde050
profile_experiences,profile_experiences_update_own,UPDATE,bc6097820b084f71d110a5f1d65d145a
profiles,Admins can update any profile,UPDATE,9fd94c4859ea2844f03d80e53ba66097
profiles,Profiles are viewable by everyone,SELECT,b326b5062b2f0e69046810717534cb09
profiles,Users can delete own profile,DELETE,bc9c729a84690340789a4e4f01175335
profiles,Users can update own profile,UPDATE,bc9c729a84690340789a4e4f01175335
profiles,profiles_read_published,SELECT,1bddd7d9925e7d1f4e02568eb9933177
push_subscriptions,Users can delete own push subscriptions,DELETE,19300d155780585259ede73ac370586c
push_subscriptions,Users can insert own push subscriptions,INSERT,19300d155780585259ede73ac370586c
push_subscriptions,Users can view own push subscriptions,SELECT,19300d155780585259ede73ac370586c
quote_request_recipients,Admins see all recipients,SELECT,c3da202e39a73212a82ad2cb224d83b4
quote_request_recipients,Business members read team request recipients,SELECT,7908ef80afaf5f1f308f9375f5085d58
quote_request_recipients,Customers add recipients to own requests,INSERT,30d0b28d3090be3b31606a559f7bfcb2
quote_request_recipients,Customers see recipients of own requests,SELECT,a6fbfea3157be95838b3c0c02cea9bf1
quote_request_recipients,Recipients see own recipient rows,SELECT,8399dbadb6b4b0900d12905520bdd535
quote_request_recipients,Recipients update own status,UPDATE,74430e456437eeb29b2b97b8164d9cba
quote_requests,Admins see all quote requests,SELECT,c3da202e39a73212a82ad2cb224d83b4
quote_requests,Business members read team quote requests,SELECT,c5f6f40ff6f2c5c1c80cbafd840a0620
quote_requests,Customers create own quote requests,INSERT,752cee7bf18260adba1069e5d783fd06
quote_requests,Customers see own quote requests,SELECT,ee65153d1f6678c0ff24cde5b374db1c
quote_requests,Customers update own quote requests,UPDATE,5fbbcac07ab7840cd933684b18dc0c8f
quote_requests,Recipients see quote requests sent to them,SELECT,d2b535d609e0e082467fafa75f95a597
quotes,Business members read team quotes,SELECT,df2db8bcf312061be779d4f5cbdc3e93
quotes,Professional creates quotes in their conversations,INSERT,71601fb9ea4ca01699d21a32f9216f20
quotes,Quote status updates by authorized parties,UPDATE,17090d8bde62b4b2a345e1117a20a209
quotes,Quotes visible to conversation participants,SELECT,8a96a592b65b475140c5965d92dc5975
reports,reports_delete_admin,DELETE,c3da202e39a73212a82ad2cb224d83b4
reports,reports_insert_own,INSERT,263450bb3e4870c916446289b4002bd6
reports,reports_select_admin,SELECT,c3da202e39a73212a82ad2cb224d83b4
reports,reports_select_own,SELECT,263450bb3e4870c916446289b4002bd6
reports,reports_update_admin,UPDATE,9fd94c4859ea2844f03d80e53ba66097
review_replies,Professionals can delete their own replies,DELETE,88db3cad0b23de39410ac5476489ff3b
review_replies,Professionals can reply to their own reviews,INSERT,88db3cad0b23de39410ac5476489ff3b
review_replies,Professionals can update their own replies,UPDATE,f95cbf085b19de256b47455790797fb2
review_replies,Replies are publicly readable,SELECT,b326b5062b2f0e69046810717534cb09
reviews,Customers can create reviews for their conversations,INSERT,74df44db44be7357fcda666d8e9a6ae4
reviews,Customers can delete their own reviews,DELETE,d7c281a4c822c416d96b2d4120329a15
reviews,Customers can update their own reviews,UPDATE,7a5661c94e8be74b9072648151a2dd76
reviews,Reviews are publicly readable,SELECT,b326b5062b2f0e69046810717534cb09
service_addons,service_addons_admin_read,SELECT,96c251e77a5b03c36834627dd706429d
service_addons,service_addons_delete_own,DELETE,91b33c70010222395eed7e280a33142e
service_addons,service_addons_insert_own,INSERT,91b33c70010222395eed7e280a33142e
service_addons,service_addons_read_all,SELECT,b326b5062b2f0e69046810717534cb09
service_addons,service_addons_update_own,UPDATE,b3b88e519605dd9ee5396b3c4b78640d
service_categories,service_categories_insert_admin,INSERT,c3da202e39a73212a82ad2cb224d83b4
service_categories,service_categories_read_all,SELECT,b326b5062b2f0e69046810717534cb09
service_categories,service_categories_update_admin,UPDATE,9fd94c4859ea2844f03d80e53ba66097
service_packages,packages_delete_own,DELETE,bc6097820b084f71d110a5f1d65d145a
service_packages,packages_insert_own,INSERT,bc6097820b084f71d110a5f1d65d145a
service_packages,packages_read_own,SELECT,bc6097820b084f71d110a5f1d65d145a
service_packages,packages_read_published,SELECT,2db55ed962894528af02e180189b0dc6
service_packages,packages_update_own,UPDATE,bc6097820b084f71d110a5f1d65d145a
service_packages,service_packages_admin_read,SELECT,96c251e77a5b03c36834627dd706429d
services,services_admin_read,SELECT,96c251e77a5b03c36834627dd706429d
services,services_delete_own,DELETE,bc6097820b084f71d110a5f1d65d145a
services,services_insert_own,INSERT,bc6097820b084f71d110a5f1d65d145a
services,services_read_own,SELECT,bc6097820b084f71d110a5f1d65d145a
services,services_read_published,SELECT,c8a00aa8eb1599033f1305107dc0f084
services,services_update_own,UPDATE,bc6097820b084f71d110a5f1d65d145a
testimonials,testimonials_admin_all,ALL,c4345a07b6139629122a0e367b839127
testimonials,testimonials_public_read,SELECT,1bddd7d9925e7d1f4e02568eb9933177
turkish_cities,turkish_cities_read_all,SELECT,b326b5062b2f0e69046810717534cb09
waitlist,anon_can_insert,INSERT,b326b5062b2f0e69046810717534cb09
